name,start odds,end odds
hill,0.5015861177,0.5015861177
bob,0.3378598336,0.05630997227
john,0.01398892895,0.002331488159
sally,0.5308799129,0.08847998549
bob,0.3237606505,0.0647521301
sue,0.8296511252,0.1382751875
sally,0.4216509974,0.07027516624
bob,0.8327705394,0.1665541079
john,0.5379108856,0.1075821771
jane,0.07103198396,0.01420639679
sally,0.5274528818,0.1318632204
jane,0.7313191206,0.1828297802
jane,0.6375923524,0.1062653921
don,0.525269025,0.525269025
sue,0.9845158134,0.2461289533
don,0.961123267,0.961123267
don,0.4803001924,0.4803001924
don,0.7045427848,0.3522713924
sue,0.5421647149,0.1355411787
john,0.862172736,0.215543184
hill,0.4769842972,0.4769842972
sally,0.8119021208,0.1353170201
john,0.4448259022,0.08896518044
john,0.25674263,0.05134852601
sally,0.6114210518,0.1222842104
hill,0.9500037885,0.4750018943
don,0.03391723211,0.01695861606
hill,0.3377416046,0.1688708023
sally,0.7985844311,0.1330974052
jane,0.8117582226,0.1352930371
sally,0.6726635646,0.1121105941
john,0.2214311147,0.04428622295
sally,0.4485813387,0.08971626775
sue,0.9249541117,0.1541590186
jane,0.9212939195,0.1535489866
john,0.07140479445,0.01190079908
don,0.6115447882,0.6115447882
hill,0.5060638863,0.2530319432
hill,0.6664910218,0.6664910218
sally,0.2125474488,0.0354245748
john,0.2921952674,0.05843905348
john,0.5694710084,0.1423677521
sue,0.7458692005,0.1243115334
jane,0.8230382528,0.1371730421
jane,0.08427998692,0.02106999673
bob,0.5842308405,0.1460577101
hill,0.7196455266,0.3598227633
sue,0.8656646992,0.1731329398
sue,0.2813515783,0.07033789457
hill,0.8245242783,0.8245242783
jane,0.7064633238,0.1766158309
sally,0.98041841,0.1634030683
bob,0.2968552079,0.04947586798
bob,0.8616886343,0.2154221586
don,0.2962900993,0.1481450496
bob,0.7603122549,0.1900780637
bob,0.9508159638,0.1901631928
don,0.8534359286,0.8534359286
john,0.4992982453,0.08321637421
sue,0.2931241264,0.05862482528
don,0.1921417459,0.1921417459
sally,0.2989455779,0.05978911558
jane,0.7186920085,0.1796730021
john,0.1490250974,0.02980501949
hill,0.7211801012,0.3605900506
sally,0.1523577375,0.02539295625
don,0.7625583233,0.7625583233
bob,0.2489582055,0.06223955139
sally,0.08408005489,0.01681601098
sue,0.3454159803,0.05756933005
sally,0.5398691519,0.1079738304
bob,0.006186900986,0.001546725247
sally,0.301346896,0.075336724
jane,0.06409853473,0.01602463368
sue,0.425176054,0.1062940135
john,0.03333257556,0.00555542926
hill,0.9950018707,0.9950018707
sally,0.4329374123,0.08658748245
jane,0.3051421358,0.07628553394
bob,0.9477209688,0.2369302422
sue,0.4480840409,0.07468067349
jane,0.5838088382,0.1459522095
don,0.490475566,0.490475566
sally,0.8459559015,0.1409926502
hill,0.3837161869,0.3837161869
sue,0.9880447881,0.247011197
jane,0.4232437601,0.07054062668
hill,0.7415935589,0.7415935589
john,0.5704584045,0.09507640075
john,0.4274428736,0.07124047894
john,0.6957209956,0.1739302489
sally,0.7895556458,0.1973889115
don,0.7741052704,0.7741052704
sue,0.9245281194,0.1540880199
sue,0.7457383429,0.1864345857
sue,0.803992053,0.1607984106
bob,0.5666755858,0.1416688965
sally,0.4358681266,0.07264468777
sally,0.752177381,0.1880443453
sue,0.3404443833,0.05674073055
bob,0.8971224711,0.1794244942
don,0.4916097797,0.4916097797
jane,0.8467870374,0.1411311729
bob,0.7012638262,0.1402527652
hill,0.9867794632,0.4933897316
hill,0.6604916472,0.3302458236
sue,0.9041566484,0.1808313297
john,0.5597784218,0.1119556844
jane,0.4225465166,0.07042441944
don,0.4340762987,0.4340762987
sue,0.02008406556,0.004016813113
sally,0.4398044809,0.07330074681
don,0.8641250983,0.8641250983
don,0.3469691299,0.1734845649
don,0.7281613018,0.3640806509
bob,0.5582884223,0.09304807039
hill,0.7723974517,0.7723974517
jane,0.9141503081,0.1828300616
jane,0.7018147248,0.140362945
hill,0.4338608762,0.4338608762
hill,0.4968066966,0.2484033483
sally,0.2325733129,0.04651466258
hill,0.1256501742,0.1256501742
hill,0.1290761748,0.1290761748
sue,0.4102055848,0.06836759747
hill,0.131756473,0.131756473
bob,0.3191865612,0.07979664029
hill,0.0486267102,0.0243133551
bob,0.5718767915,0.1429691979
bob,0.3504835902,0.08762089756
don,0.8814082537,0.8814082537
jane,0.5893123245,0.1473280811
jane,0.08279874085,0.01655974817
bob,0.1549776391,0.03099552781
sue,0.7139656377,0.1427931275
john,0.3215776244,0.05359627073
bob,0.328774754,0.05479579233
sue,0.3807709964,0.06346183274
bob,0.3099850737,0.07749626841
john,0.2007136543,0.04014273087
don,0.7633797601,0.38168988
bob,0.8670501089,0.2167625272
jane,0.9559668662,0.159327811
jane,0.5699001084,0.1424750271
don,0.3942370982,0.3942370982
sue,0.001079707394,0.0002159414788
jane,0.7498584966,0.1499716993
john,0.915060308,0.1525100513
hill,0.3513875998,0.1756937999
